DIP编码,DIP名称,权重,DIP住院费用,DIP收入,DIP结余,结余率(%),预计结算点数,入组病例数,高倍率病例数,低倍率病例数,超支病例,服务性收入
S55.1:39.3113,在前臂水平的桡动脉损伤:桡动脉缝合术,0.812,16301.38,10977.16683,-5324.213165,-0.326611193,823.1145272,1,1,0,1,22334.88
J98.4:96.0400,肺的其他疾患:气管内插管,4.865,108060.58,102737.1876,-5323.392396,-0.049263037,9730,2,0,0,1,76329.2
I12.9,高血压肾脏病不伴有肾衰竭,0.568,29294.95,23981.39223,-5313.557772,-0.181381357,2272,4,0,0,3,11410.46
M62:SS,肌肉其他疾患:相关手术,1.01,24050.78,18747.53544,-5303.244558,-0.220501978,1477.000515,3,0,2,3,14007.69
I44.2,完全性房室传导阻滞,0.591,34729.26,29430.303,-5298.957004,-0.152579036,2548.397478,6,0,3,5,10661.76
R56.0,发热性惊厥,0.266,45098.56,39799.9545,-5298.605498,-0.117489461,3590.824841,14,0,1,10,14188.67
S83.2:80.2600,半月板撕裂，近期的:关节镜膝关节检查,1.422,22849.46,17552.19336,-5297.266636,-0.23183334,1422,1,0,0,1,28591.87
I74.2:38.0302,上肢动脉栓塞和血栓形成:上肢动脉取栓术,1.519,28037.47,22754.67965,-5282.790352,-0.188418939,1519,1,0,0,1,38580.05
S83.6,膝的其他和未特指部位的扭伤和劳损,0.494,34955.78,29681.30956,-5274.470436,-0.150889794,2655.188652,3,1,0,3,11866.48
I65.2:38.1200x003,颈动脉闭塞和狭窄:颈动脉内膜剥脱术,2.979,37269.57,32024.91679,-5244.653206,-0.140722128,2979,1,0,0,1,46131.57
N81.1:70.5101,膀胱膨出:阴道前壁修补术,0.911,18022.55,12787.30437,-5235.245626,-0.290483069,911,1,0,0,1,27260.08
E04.9:06.3900x003,未特指的非毒性甲状腺肿:单侧甲状腺部分切除术,1.32,21098.39,15878.74335,-5219.646653,-0.247395496,1320,1,0,0,1,28203.79
H47.2,视神经萎缩,0.565,22733.87,17515.05556,-5218.814436,-0.229561198,1373.146681,3,0,1,3,19230.71
N50:SS,男性生殖器官的其他疾患:相关手术,0.774,14877.04,9668.951761,-5208.088239,-0.350075569,774,1,0,0,1,18749.06
J47.X:96.0400,支气管扩张(症):气管内插管,3.848,45989.09,40783.85793,-5205.232072,-0.113184063,3848,1,0,0,1,58503.03
S52.3:79.3200x011,桡骨干骨折:桡骨骨折切开复位钢板内固定术,1.76,27244.68,22046.15767,-5198.52233,-0.190808713,1760,1,0,0,1,32390.04
K22.1,食管溃疡,0.589,24798.33,19606.02856,-5192.301438,-0.209381093,1529.359554,2,1,0,1,24822.95
C53.9:67.3201,未特指的宫颈恶性肿瘤:子宫颈环形电切术,0.724,19547.24,14368.97734,-5178.262662,-0.26491017,1236.691432,1,1,0,1,24371.94
K56.7:45.4302,未特指的肠梗阻:内镜下结肠病损切除术,0.955,38483.1,33306.17477,-5176.925227,-0.134524641,2865,3,0,0,2,16817.53
I85.0:44.1300x001,食管静脉曲张伴有出血:胃镜检查,0.909,42548.37,37372.80723,-5175.562771,-0.121639508,3358.826276,1,1,0,1,56410.15
K62.3:49.4900x003,直肠脱垂:吻合器痔上黏膜环切术,0.88,36243.63,31077.0503,-5166.579704,-0.142551386,2640,3,0,0,3,19425.17
I66.4,多个和双侧大脑动脉闭塞和狭窄,0.544,28585.8,23424.87043,-5160.929573,-0.180541723,2057.511424,3,1,0,3,19382.3
N20.0,肾结石,0.351,20290.92,15132.38909,-5158.53091,-0.254228537,1053,3,0,0,3,14569.9
D18.0:39.7903,血管瘤，任何部位:经导管肝动脉栓塞术,1.866,29189.56,24031.42612,-5158.133883,-0.176711601,1866,1,0,0,1,35930.64
K80.1:51.0405,胆囊结石伴有其他胆囊炎:腹腔镜下胆囊切开取石术,1.632,39592.17,34455.80161,-5136.368395,-0.129731924,3264,2,0,0,2,28517.06
N84.0:67.3203+68.2915,子宫体息肉:宫腔镜子宫颈病损电切术+宫腔镜子宫内膜病损切除术,0.898,43014.5,37878.93261,-5135.567391,-0.11939154,3592,4,0,0,4,26705.7
I63.5:39.7400x002,大脑动脉未特指的闭塞或狭窄引起的脑梗死:经皮颅内动脉取栓术,9.484,229400.26,224277.6212,-5122.638768,-0.022330571,18968,2,0,0,1,174805.96
E04.9:06.2x00,未特指的非毒性甲状腺肿:单侧甲状腺叶切除术,1.318,22956.53,17861.76789,-5094.76211,-0.221930845,1318,1,0,0,1,30265.53
K72:ZLXCZ,肝衰竭，不可归类在他处者:治疗性操作,3.428,44703.12,39636.16954,-5066.950455,-0.113346685,3428,1,0,0,1,62740.48
L:ZLXCZ,皮肤和皮下组织疾病:治疗性操作,1.376,87024.47,81960.90804,-5063.561965,-0.058185496,7540.929391,15,0,12,13,35362.6
C78.8,其他和未特指的消化器官继发性恶性肿瘤,0.705,20950.83,15912.41281,-5038.417191,-0.240487713,1396.478923,1,1,0,1,24872.73
J38.1:30.0911,声带和喉的息肉:支撑喉镜下喉病损切除术,0.714,14873.24,9846.856935,-5026.383065,-0.337948091,777.864541,1,1,0,1,21371.46
K92.2:45.2302,未特指的胃肠出血:电子结肠镜检查,0.714,70016.79,64994.022,-5022.768002,-0.071736622,5010.487536,2,1,0,1,64606.95
L89.1,受压区Ⅱ期褥疮,0.754,14039.94,9018.185032,-5021.754968,-0.357676384,754,1,0,0,1,17392.94
R13.X,吞咽困难,0.665,12994.07,7981.616722,-5012.453278,-0.38574929,665,1,0,0,1,14500.07
Z51.1:86.0701,为肿瘤化学治疗疗程:静脉输液港植入术,1.358,47168.57,42160.09582,-5008.474179,-0.106182447,2924.777761,2,1,0,2,37793.88
I63,,0,5005.73,0,-5005.73,-1,0,1,0,0,1,6203.23
K63.3,肠溃疡,0.769,32630.1,27646.21297,-4983.887034,-0.152738945,2538.333505,2,1,0,1,12679.02
N:SS,泌尿生殖系统疾病:手术操作,1.902,154017.95,149036.481,-4981.469041,-0.032343432,14211.69366,9,1,3,5,51973.84
D72.8:41.3800x001,白细胞的其他特指疾患:骨髓穿刺术,1.05,19388.2,14407.4951,-4980.7049,-0.256893621,1050,1,0,0,1,21770
K31:ZLXCZ,胃和十二指肠的其他疾病:治疗性操作,1.235,23994.98,19036.30491,-4958.675092,-0.206654687,1742.626818,2,0,1,2,9799.07
K92.2:44.1401,未特指的胃肠出血:胃镜下活组织检查,0.889,25127.08,20171.30213,-4955.777871,-0.197228563,1778,2,0,0,1,13439.13
D26.1:68.4901,子宫体良性肿瘤:经腹全子宫切除术,1.235,22531.07,17596.08538,-4934.984621,-0.219030194,1235,1,0,0,1,32808.51
D11.0:26.2901,腮腺良性肿瘤:腮腺病损切除术,0.935,46768.81,41846.70042,-4922.109583,-0.105243422,3740,4,0,0,3,30889.69
Z47.0:78.6701+78.6703,涉及骨折板和其他内固定装置的随诊医疗:胫骨内固定装置去除术+腓骨内固定装置去除术,0.813,34610.76,29694.53453,-4916.225472,-0.142043268,2439,3,0,0,3,25810.34
C54.1:40.5912,子宫内膜恶性肿瘤:腹腔镜盆腔淋巴结清扫术,3.191,42045.73,37132.71757,-4913.012429,-0.11684926,3191,1,0,0,1,55739.17
J96.9,未特指的呼吸衰竭,1.034,22763.6,17861.2157,-4902.384302,-0.215360677,1332.792976,2,0,1,2,8795.82
E78.5,未特指的高脂血症,0.479,31186.57,26287.94382,-4898.62618,-0.157074862,2347.603435,6,0,2,5,9001.97
Z51.5:44.1300x001+45.2302,姑息性医疗:胃镜检查+电子结肠镜检查,0.929,34230.88,29355.37864,-4875.501356,-0.142429916,2787,3,0,0,2,14711.5
N80.0:54.5100x009,子宫的子宫内膜异位症:腹腔镜下盆腔粘连松解术,1.96,27474.56,22601.66562,-4872.894378,-0.177360234,1960,1,0,0,1,39773.33
K80:ZDXCZ,胆石症:诊断性操作,1.299,57027.55,52163.29637,-4864.253627,-0.085296556,5196,4,0,0,2,27260.61
N83.1,黄体囊肿,0.281,42313.88,37462.70648,-4851.173522,-0.114647334,3263.927778,12,1,1,11,12588.7
S46.0:81.8300x006,肩回旋套肌肉和肌腱损伤:肩袖修补术,2.255,55467.14,50626.83257,-4840.307429,-0.087264413,4510,2,0,0,2,38730.29
C54.1:40.2905+40.5910,子宫内膜恶性肿瘤:腹主动脉旁淋巴结切除术+盆腔淋巴结清扫术,3.306,41703.89,36864.43395,-4839.456054,-0.116043277,3306,1,0,0,1,54519.88
N20.2:59.8x03,肾结石伴有输尿管结石:经尿道输尿管支架置入术,1.561,96870.23,92031.48998,-4838.740023,-0.049950744,8489.666807,6,0,1,2,39941.62
K64.8:45.4200x003,其他特指的痔疮:纤维结肠镜下结肠息肉切除术,1.045,18158.08,13328.30689,-4829.773107,-0.265984791,1045,1,0,0,1,23859.28
N44.X:62.5x00,睾丸扭转:睾丸固定术,0.722,23369.08,18546.51424,-4822.565758,-0.206365238,1444,2,0,0,2,21781.07
S72.0:00.8500x001,股骨颈骨折:全髋关节表面置换术,3.786,45985.06,41167.44125,-4817.618746,-0.104764868,3786,1,0,0,1,59343.86
Z51.1:99.2506,为肿瘤化学治疗疗程:膀胱灌注化疗,0.472,27115.11,22302.91659,-4812.193407,-0.17747276,1982.64224,3,1,1,2,10671.33
S61.9:82.3601,腕和手部位未特指的开放性伤口:手部肌肉清创术,0.67,84528.12,79720.47289,-4807.647111,-0.056876305,6769.515581,6,0,0,4,37937.77
H49.8,其他麻痹性斜视,0.54,35503.65,30717.96008,-4785.689924,-0.134794308,2865.966809,6,1,2,4,13392.67
I61.8:03.3101,其他脑内出血:腰椎穿刺术,3.624,40079.62,35303.45447,-4776.165526,-0.119166936,3624,1,0,0,1,53812.02
K29.4:45.4201,慢性萎缩性胃炎:内镜下乙状结肠息肉切除术,0.73,29752.74,24977.75014,-4774.989856,-0.16048908,2190,3,0,0,3,19613.62
M87.0:81.5100,特发性无菌性骨坏死:全髋关节置换,3.879,459957.57,455201.6732,-4755.896834,-0.01033986,46548,12,0,0,5,133053.69
M17.9:80.7601,未特指的膝关节病:关节镜膝关节滑膜切除术,1.395,23002.82,18254.60723,-4748.212771,-0.206418725,1395,1,0,0,1,28103.45
H40.2:12.1403+12.6400x003,原发性闭角型青光眼:虹膜周边切除术+滤帘切除术[小梁切除术],0.62,30356.05,25613.82175,-4742.228254,-0.156220202,2171.10785,3,1,0,3,20434.68
K80.5:51.8500x002,胆管结石不伴有胆管炎或胆囊炎:内镜下十二指肠乳头肌切开取石术,2.963,92675.14,87935.3187,-4739.821303,-0.051144474,8889,3,0,0,2,55212.94
D27.X:65.2501+68.2915,卵巢良性肿瘤:腹腔镜卵巢病损切除术+宫腔镜子宫内膜病损切除术,1.64,42171.28,37439.05171,-4732.228286,-0.112214481,3280,2,0,0,2,33489.84
K55.1,肠慢性血管疾患,0.602,12630.72,7904.231667,-4726.488333,-0.374205772,602,1,0,0,1,14394.92
T81.8,操作的其他并发症，不可归类在他处者,0.541,18852.63,14126.49151,-4726.138486,-0.25068855,1309.792857,3,0,1,2,15381.21
K29.6,其他胃炎,0.374,30109.75,25387.84517,-4721.904825,-0.156823116,2244,6,0,0,6,10438.66
N28.1:55.9601,肾囊肿:肾囊肿硬化剂注射术,0.495,18040.21,13318.4531,-4721.756898,-0.26173514,1133.47581,2,1,0,2,10539.46
C73.X:40.3x00x005,甲状腺恶性肿瘤:功能性颈淋巴结清扫术,1.808,43693.34,38977.48976,-4715.850241,-0.107930642,3616,2,0,0,2,36836
J15.9:34.0401,未特指的细菌性肺炎:胸腔闭式引流术,1.431,51277.36,46566.43238,-4710.927619,-0.091871493,4293,3,0,0,2,35472.7
G36.0,视神经脊髓炎[德维克],1.041,27970.52,23296.33624,-4674.183763,-0.167111079,2082,2,0,0,2,17361.09
C25.0,胰头恶性肿瘤,0.851,30803.46,26131.09216,-4672.367842,-0.151683215,2238.74976,1,1,0,1,40004.96
Z51.2,其他化学治疗,0.704,18817.16,14158.91998,-4658.240016,-0.247552767,1408,2,0,0,1,13428.67
D27.X:68.4901,卵巢良性肿瘤:经腹全子宫切除术,1.81,26244.7,21589.66766,-4655.03234,-0.177370377,1810,1,0,0,1,34003.94
D12.2:45.4200x003,升结肠良性肿瘤:纤维结肠镜下结肠息肉切除术,0.753,38092.87,33443.59629,-4649.273707,-0.122051022,3012,4,0,0,3,21140.35
I26.9:38.7x04,肺栓塞未提及急性肺源性心脏病:下腔静脉滤器置入术,3.634,39584.2,34935.27201,-4648.927992,-0.117444031,3634,1,0,0,1,47332.68
D32.9,未特指的脑脊膜良性肿瘤,0.478,19632.85,14999.39229,-4633.457705,-0.236005354,1160.014544,2,1,0,2,15255.32
L04.9,未特指的急性淋巴结炎,0.235,15072.19,10451.48856,-4620.701437,-0.306571337,529.1883271,2,1,0,2,7642.25
G95.0,脊髓空洞症和延髓空洞症,0.687,21280.74,16672.31888,-4608.421116,-0.216553612,1447.570639,1,1,0,1,24712.14
C73.X:06.2x02+40.2100,甲状腺恶性肿瘤:单侧甲状腺切除伴甲状腺峡部切除术+深部颈淋巴结切除术,2.015,44863.67,40269.76553,-4593.904475,-0.102396984,4030,2,0,0,2,34797.03
K51.8:45.2302,其他的溃疡性结肠炎:电子结肠镜检查,0.684,14462.36,9872.134461,-4590.225539,-0.317391182,766.6511065,1,1,0,1,17340.26
I61.4:01.2408,小脑的脑内出血:颅内血肿清除术,6.446,126063.53,121474.0105,-4589.519454,-0.036406401,12892,2,0,0,1,119956.69
N61.X,乳房炎性疾患,0.313,59405.08,54817.8769,-4587.2031,-0.077219038,5105.065821,17,1,1,7,25918.43
I48:SS,心房纤颤和扑动:相关手术,7.526,122747.94,118171.8035,-4576.136521,-0.03728076,11335.43816,3,0,2,1,99005.63
G93.4:03.3101,分类于其他疾病中的脑病:腰椎穿刺术,1.512,23762.21,19187.31597,-4574.89403,-0.192528137,1512,1,0,0,1,29674.43
M54.4:80.5900x001,腰痛伴有坐骨神经痛:椎间盘射频消融术,0.656,15691.81,11139.92009,-4551.889912,-0.290080616,917.9714361,1,1,0,1,21343.21
Z47,,0,4546.21,0,-4546.21,-1,0,1,0,0,1,6078.31
J44.1:96.0400,未特指的慢性阻塞性肺病伴有急性加重:气管内插管,3.15,37608.58,33063.47954,-4545.100459,-0.120852754,3150,1,0,0,1,49733.59
K80.2,胆囊结石不伴有胆囊炎,0.356,14174.29,9633.628193,-4540.661807,-0.320344921,712,2,0,0,2,9959.35
O00.2:74.3x00x012,卵巢妊娠:腹腔镜下卵巢切开胚胎清除术,0.815,16441.7,11903.47793,-4538.222074,-0.276019029,834.1893645,1,1,0,1,23265.4
I42.2,其他肥厚型心肌病,0.572,14240.62,9720.896516,-4519.723484,-0.317382494,572,1,0,0,1,16355.12
I38.X,瓣膜未特指的心内膜炎,0.583,26811.39,22301.36072,-4510.029279,-0.168213184,1928.793725,2,1,0,1,12244.95
D25.1:68.5901,子宫壁内平滑肌瘤:经阴道子宫切除术,1.412,37602.64,33093.53588,-4509.104116,-0.119914562,2824,2,0,0,2,30278.64
L89.3:86.0401,受压区Ⅳ期褥疮:创面封闭式负压引流术（VSD),2.282,52755.3,48250.45124,-4504.848759,-0.085391397,4564,2,0,0,1,37833.21
N89.8:70.3301,阴道其他特指的非炎性疾患:阴道病损切除术,0.59,15253.5,10760.68639,-4492.813608,-0.294543128,940.0066277,1,1,0,1,20609.74
D64.9:41.3100+41.3800x001,未特指的贫血:骨髓活组织检查+骨髓穿刺术,1.203,20811.91,16331.71133,-4480.198669,-0.215270904,1203,1,0,0,1,25992.71
S52.6:79.3200x014,尺骨和桡骨下端均骨折:桡骨骨折切开复位钢针内固定术,0.998,21325.43,16852.15712,-4473.272882,-0.209762377,1141.053282,1,1,0,1,25038.53
N73.0,急性子宫旁组织炎和盆腔蜂窝织炎,0.457,25312.54,20841.05355,-4471.486454,-0.176651038,1828,4,0,0,3,14246.2
C50.4:85.4500x001,乳房上外象限恶性肿瘤:单侧乳房根治性切除伴同侧腋窝前哨淋巴结活检术,2.026,26663.33,22204.06167,-4459.268331,-0.167243489,2026,1,0,0,1,37468.13
D69.5,继发性血小板减少,0.989,29134.99,24677.06405,-4457.925952,-0.153009352,1978,2,0,0,2,17825.32
A37.9,未特指的百日咳,0.663,22491.56,18035.6392,-4455.920799,-0.19811524,1326,2,0,0,2,23749.83
K62.0:49.3907,肛门息肉:肛管病损切除术,0.771,21331.13,16877.45522,-4453.674784,-0.208787569,1542,2,0,0,1,22055.67
J04.0,急性喉炎,0.216,42638.39,38192.62253,-4445.767475,-0.104266776,2888.691226,14,0,1,13,17295
D24.X:85.2401,乳房良性肿瘤:副乳腺切除术,0.895,15848.98,11419.41596,-4429.564042,-0.279485749,895,1,0,0,1,20946.48
M65.9:82.0101,未特指的滑膜炎和腱鞘炎:手部腱鞘松解术,0.351,47172.66,42745.11961,-4427.540387,-0.093858188,3832.967084,8,1,0,6,20300.33
I21.0:36.0700,前壁急性透壁性心肌梗死:药物洗脱冠状动脉支架置入,3.424,241741.74,237317.4511,-4424.288904,-0.018301717,23968,7,0,0,4,90891.01
D34.X:06.3100,甲状腺良性肿瘤:甲状腺病损切除术,1.254,20448.6,16062.4095,-4386.190503,-0.214498328,1254,1,0,0,1,27539.61
O99.5,呼吸系统疾病并发于妊娠、分娩和产褥期,0.23,49471.13,45093.96038,-4377.169622,-0.088479273,3939.074554,17,2,1,10,18989.16
C77.0:40.2900x021,头、面和颈部淋巴结继发性和未的恶性肿瘤:颈淋巴结切除术,0.973,34541.45,30164.94185,-4376.508152,-0.126703081,2491.689903,1,1,0,1,38320.45
N61.X:85.2200,乳房炎性疾患:乳房象限切除术,1.146,33845.99,29475.97526,-4370.014739,-0.129114697,2292,2,0,0,2,36182.44
E04.1:06.3900x004,非毒性单个甲状腺结节:单侧甲状腺次全切除术,0.991,16729.16,12359.60329,-4369.556713,-0.26119403,991,1,0,0,1,21976.36
C18.7:17.3600+40.5909,乙状结肠恶性肿瘤:腹腔镜乙状结肠切除术+肠系膜淋巴结清扫术,6.247,68042.34,63676.99883,-4365.341166,-0.064156247,6247,1,0,0,1,80478.84
S80:SS,小腿浅表损伤:相关手术,1.03,31901.25,27539.91539,-4361.334609,-0.136713596,2280.780634,2,1,0,1,28128.79
C50.8:85.1100x001,乳房交搭跨越恶性肿瘤的损害:乳房穿刺活检,0.993,34543.13,30187.2987,-4355.831296,-0.126098338,2471.858416,1,1,0,1,35926.43
N84.0,子宫体息肉,0.505,16981.64,12631.81826,-4349.821736,-0.256148507,1010,2,0,0,2,16376.85
Q43,,0,4347.64,0,-4347.64,-1,0,1,0,0,1,4947.04
C81.9,未特指的霍奇金淋巴瘤,0.654,14370.53,10028.97248,-4341.557516,-0.302115337,787.4400724,1,1,0,1,25460.53
A23.0,马耳他布氏菌病,0.741,16013.76,11675.67073,-4338.089269,-0.270897607,741,1,0,0,1,18191.96
H81.0,梅尼埃[美尼尔]病,0.31,53640.83,49316.55941,-4324.270588,-0.080615281,4568.611762,12,2,0,6,16173.98
I20.9,未特指的心绞痛,0.459,16061.05,11742.90289,-4318.14711,-0.268858332,656.9496337,2,0,1,2,5327.81
C73:SS,甲状腺恶性肿瘤:相关手术,2.151,29775.24,25457.36163,-4317.878373,-0.145015737,2151,1,0,0,1,37853.34
K62.1:48.3600x003,直肠息肉:内镜下直肠黏膜下剥离术(ESD),1.484,22842.51,18530.5489,-4311.961102,-0.188769146,1484,1,0,0,1,28623.41
S83.4:81.4601,累及膝关节（腓)（胫)副韧带的扭伤和劳损:关节镜膝关节副韧带修补术,1.521,40985.48,36680.54676,-4304.933242,-0.10503557,3042,2,0,0,2,27885.06
I44.0,一度房室传导阻滞,0.35,15310.98,11006.18133,-4304.798665,-0.281157618,888.199265,2,1,0,2,7859.52
N50.9:61.3x03,男性生殖器官未特指的疾患:阴囊病损切除术,0.511,17778.84,13489.69704,-4289.142964,-0.241249877,1106.011183,2,1,0,2,14782.75
S83.5:81.4504+81.4505,累及膝关节（前)（后)十字韧带的扭伤和劳损:关节镜膝关节前交叉韧带重建术+关节镜膝关节后交叉韧带重建术,4.867,59389.8,55104.37689,-4285.423106,-0.072157561,4867,1,0,0,1,67343.36
K63.5:45.2501+45.4200x003,结肠息肉:结肠镜下大肠活组织检查+纤维结肠镜下结肠息肉切除术,0.724,42717.57,38451.62535,-4265.944646,-0.099863935,3620,5,0,0,3,24048.94
N85.0:69.0901,子宫内膜腺性增生:诊断性刮宫术,0.367,14686.49,10435.06916,-4251.420841,-0.289478347,794.4639784,2,1,0,2,12378.06
E10.1,1型糖尿病伴有酮症酸中毒,0.53,33729.36,29478.90762,-4250.452383,-0.126016396,2882.493476,6,1,1,2,9118.95
C54.1,子宫内膜恶性肿瘤,0.849,25492.52,21251.6405,-4240.879502,-0.166357798,1698,2,0,0,2,19486.15
I61.1:57.9400,大脑半球的脑内出血，皮质的:留置导尿管的置入术,1.448,20034.3,15797.42262,-4236.877377,-0.211481179,1448,1,0,0,1,25823.48
H43.1:14.2402+14.7903,玻璃体积血:视网膜病损激光凝固术+玻璃体药物注射术,0.971,22178.12,17942.26306,-4235.856938,-0.190992606,1388.683233,2,0,1,2,11663.72
J20:ZLXCZ,急性支气管炎:治疗性操作,1.13,69393.27,65157.8391,-4235.430904,-0.061035183,6133.524257,9,0,5,7,25126.26
J47:SS,支气管扩张（症):相关手术,3.139,55183.8,50956.17171,-4227.62829,-0.076609952,4354.066096,2,0,1,1,24319.28
D58.9,未特指的遗传性溶血性贫血,0.705,20383.7,16161.33581,-4222.364188,-0.207144149,1339.592788,1,1,0,1,25110.31
N34.2,其他的尿道炎,0.209,18196.23,13975.61106,-4220.618941,-0.231950187,990.0725171,4,3,0,4,7541.99
Z09.0,其他情况手术后的随诊检查,0.422,30283.28,26066.63639,-4216.643611,-0.13923999,2537.263878,5,2,0,2,17006.99
E04.1:06.2x00,非毒性单个甲状腺结节:单侧甲状腺叶切除术,1.158,18284.99,14074.53074,-4210.459265,-0.230268612,1158,1,0,0,1,23129.89
D23:SS,皮肤其他良性肿瘤:相关手术,0.572,31708.56,27506.25501,-4202.304987,-0.132529039,2254.223692,5,1,2,4,14279.28
E11.3:14.2402,非胰岛素依赖型糖尿病伴有眼的并发症:视网膜病损激光凝固术,0.633,20603.46,16416.67849,-4186.781512,-0.20320769,1266,2,0,0,2,15183.15
M80.9:81.6600x001,未特指的骨质疏松伴有病理性骨折:经皮穿刺脊柱后凸成形术,2.538,107871.93,103686.0488,-4185.88115,-0.038804174,10152,4,0,0,2,47702.55
K83.1:51.8700x003,胆管梗阻:内镜下胆管支架置入术,3.345,38403.9,34219.52805,-4184.371952,-0.108956954,3345,1,0,0,1,46177.68
K59.9,未特指的功能性肠疾患,0.395,18315.53,14134.29656,-4181.233442,-0.228288968,1185,3,0,0,3,7630.44
T13:SS,下肢的其他损伤，水平未特指:相关手术,1.05,23240.28,19078.2128,-4162.0672,-0.179088514,1281.122853,1,1,0,1,26848.38
I08.3,二尖瓣、主动脉瓣和三尖瓣的合并疾患,0.802,29352.48,25190.83539,-4161.644608,-0.141781703,2142.208801,1,1,0,1,34317.98
M00:SS,化脓性关节炎:相关手术,2.478,34744.12,30590.26868,-4153.85132,-0.11955552,2478,1,0,0,1,42591.05
C92:ZLXCZ,髓样白血病:治疗性操作,8.37,132600.84,128447.9507,-4152.889284,-0.031318725,12952.16335,3,0,2,2,96900.56
Z08.9,恶性肿瘤未特指的治疗后的随诊检查,0.561,25683.04,21531.24872,-4151.791284,-0.161654979,1959.04415,4,0,1,3,13051
N18:ZLXCZ,慢性肾病:治疗性操作,2.264,25972.79,21821.34226,-4151.447736,-0.159838344,2000.20256,3,0,3,3,16637.82
Z09.0:88.4101,其他情况手术后的随诊检查:脑血管造影,0.759,16306.49,12156.09527,-4150.394732,-0.254524103,876.6270872,1,1,0,1,20190.75
S83.4:81.4700x005,累及膝关节（腓)（胫)副韧带的扭伤和劳损:膝关节镜下半月板成形术,2.085,28127.99,23996.10562,-4131.884378,-0.146895828,2085,1,0,0,1,36376.36
B02:SS,带状疱疹:相关手术,1.328,20388.5,16267.03075,-4121.469251,-0.202146762,1328,1,0,0,1,24510.4
K91.8,消化系统的其他操作后疾患，不可归类在他处者,0.654,52031.44,47913.04653,-4118.393471,-0.079152018,4440.360504,6,1,0,3,14239.69
I25.8:88.5500,其他类型的慢性缺血性心脏病:单根导管的冠状动脉造影术,0.855,26938,22828.07155,-4109.928452,-0.152569918,1847.023702,1,1,0,1,32304.42
Z03.5:88.5500,其他可疑心血管疾病的观察:单根导管的冠状动脉造影术,0.801,23583.88,19474.54605,-4109.333954,-0.174243337,1602,2,0,0,2,16273.41
M43.0:81.0701,脊椎骨脱离:腰椎后柱融合术，后入路,3.119,39831.64,35724.70806,-4106.931944,-0.103107277,3119,1,0,0,1,48666.77
S14.1,颈部脊髓其他和未特指的损伤,0.588,11834.64,7727.795117,-4106.844883,-0.347018995,588,1,0,0,1,13508.92
L03.0:86.2701,指和趾的蜂窝织炎:甲床清创术,0.36,27335.54,23232.58136,-4102.958641,-0.150096125,1996.698676,4,1,0,4,11045.94
M80.8:81.6601,其他的骨质疏松伴有病理性骨折:经皮椎体球囊扩张成形术,2.492,61331.7,57228.96992,-4102.730083,-0.06689412,4984,2,0,0,1,52175.19
C64.X:55.5103,肾(除外肾盂)恶性肿瘤:腹腔镜下单侧肾切除术,2.607,35532.42,31431.76483,-4100.655169,-0.11540602,2607,1,0,0,1,41578.38
G47.3:27.6906,睡眠呼吸暂停:悬雍垂腭咽成形术,1.447,78509.68,74411.4088,-4098.271203,-0.05220084,7235,5,0,0,2,40791.02
S72.1,经大转子骨折,1.008,17458.87,13362.24579,-4096.624208,-0.234644293,1008,1,0,0,1,20476.67
Q:BSZL,先天性畸形、变形和染色体异常:保守治疗,0.785,37520.41,33426.94481,-4093.465186,-0.109099692,2831.772917,5,0,2,4,11060.47
S64:SS,在腕和手水平的神经损伤:相关手术,0.785,22130.47,18038.22147,-4092.248527,-0.184914669,1721.989936,2,1,0,1,13278.18
K29.6:45.4201,其他胃炎:内镜下乙状结肠息肉切除术,0.753,15846.61,11756.49499,-4090.115006,-0.258106624,836.4986939,1,1,0,1,19499.41
K63.5:43.4108+45.4307,结肠息肉:内镜下胃黏膜切除术[EMR]+内镜下结肠黏膜切除术(EMR),1.032,38107.09,34017.21657,-4089.873431,-0.107325787,3096,3,0,0,2,20670.85
K29.1:44.1401,其他急性胃炎:胃镜下活组织检查,0.596,84328.69,80246.25706,-4082.432942,-0.048410961,7748,13,0,0,6,29255.79
I25.2,陈旧性心肌梗死,0.535,12330,8250.274069,-4079.725931,-0.330878016,701.7641341,1,1,0,1,13823.1
R94.5,肝功能检查的异常结果,0.408,23672.61,19594.28297,-4078.327034,-0.172280413,1729.003758,4,1,0,4,14940.23
Z51.1:40.1101+99.2503,为肿瘤化学治疗疗程:颈淋巴结活组织检查+静脉注射化疗药物,1.623,24753.39,20679.34914,-4074.040858,-0.164585168,1623,1,0,0,1,27827.79
C64.X:55.4x03,肾(除外肾盂)恶性肿瘤:腹腔镜下肾部分切除术,2.627,33308.7,29242.2199,-4066.480102,-0.122084624,2627,1,0,0,1,40132.88
K64.8:45.4302,其他特指的痔疮:内镜下结肠病损切除术,1.075,17717.31,13653.9161,-4063.393898,-0.229345984,1075,1,0,0,1,22004.21
S02,,0,4058.38,0,-4058.38,-1,0,2,0,0,2,2831.35
K62.1:45.4302,直肠息肉:内镜下结肠病损切除术,0.669,12105.54,8047.587839,-4057.952161,-0.335214469,669,1,0,0,1,14398.14
D28.0:71.3x04,外阴良性肿瘤:外阴病损切除术,0.446,18198.82,14140.88739,-4057.932609,-0.222977787,1226.277217,2,1,0,2,18976.25
